"VAR2","VAR3","SPCD","STATE","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Merch Stem Bark Volume","ST_BK_CV_MER","12","WI",109,8.29633027522936,5.1,18.1,0.476536404408371,57.392484764536,0.0183022605766525,19.0273571471593,0.313825557303733,36.6366864143061,0.0479383257879649,0.474698378976897,0.672475364309343
"Merch Stem Wood Volume","ST_WD_CV_MER","12","WI",198,8.16363636363636,5,18.1,1.00459946351959,11.0837065153926,0.0645417393952895,1.14195741754049,0.623728312295826,8.34224014267524,0.0932655354344428,1.00413577125121,0.965494707642242
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","12","WI",110,8.28181818181818,5.1,18.1,1.38617872373337,10.5527179738629,0.00398747295936851,-0.13198366770914,0.781678381674533,8.17758681770709,0.116924303015412,1.37986928726717,0.9438320482826
"Stump Bark Volume","SP_BK_CV","12","WI",110,8.26545454545455,4.9,18.1,0.0399664240293917,74.08227436138,0.00180554314055194,33.696504374256,0.0271583892039867,51.1178295629368,0.00424996792488947,0.0398252933425881,0.546198025613601
"Stump Wood Volume","SP_WD_CV","12","WI",257,8.14396887159533,2.5,18.1,0.165221114235937,20.7160929447256,-0.0203301036646509,4.38646309328913,0.0915265631368035,15.8117690588351,0.0156731870914698,0.16614786107861,0.824056938532677
"Stump Wood+Bark Volume","SP_WDBK_CV","12","WI",111,8.25135135135135,4.9,18.1,0.164675174991716,21.6372782670955,-0.00076356850295063,8.36102326419583,0.105810548619136,17.994782238485,0.0169864425251727,0.163933494962314,0.852384541527199
"Total Stem Bark Volume","ST_BK_CV_TOT","12","WI",110,8.26545454545455,4.9,18.1,0.514398506136526,55.8237095011709,0.0175837944110513,19.0612145403124,0.347772463210668,36.1517532946684,0.0529119193784738,0.512356814591659,0.672815289903381
"Total Stem Wood Volume","ST_WD_CV_TOT","12","WI",257,8.14396887159533,2.5,18.1,0.983810575619213,9.47320926131559,0.0875591970604272,1.82488633687365,0.621202377044601,7.01794786229724,0.0945109085693665,0.985790940823817,0.970425423282578
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","12","WI",111,8.25135135135135,4.9,18.1,1.32729026905119,8.84551242815486,0.0698648600514804,1.1415898777644,0.759346064379339,6.96816930114245,0.114707725966585,1.32314375284654,0.953752677644238
"Sawlog Bark Volume","ST_BK_CV_SAW","12","WI",37,10.7756756756757,9,18.1,0.607808856533043,37.807569195445,0.063824731362199,10.4346309990264,0.453869321583401,31.1075494780203,0.0480978026541883,0.602926665865178,0.171433735626999
"Sawlog Wood Volume","ST_WD_CV_SAW","12","WI",67,10.9014925373134,9,18.1,1.69523135237249,14.5185690888919,0.0140850175870055,1.00092956535635,1.16646560033897,10.5195828688524,0.137192105370103,1.68259176543199,0.84875240937444
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","12","WI",37,10.7756756756757,9,18.1,2.37778688044537,15.7456709640074,-0.0146034341287068,-0.595864049909197,1.47960546692558,11.2931453094654,0.178551450262937,2.34547999345101,0.710553298973153
"Merch Stem Bark Volume","ST_BK_CV_MER","129","WI",30,11.4333333333333,5.2,23.1,0.90438731743395,25.1345805151292,0.430061293063528,16.8683126214059,0.673832003278195,24.0680914150387,0.0629979123217222,0.987727318171537,0.851563439028724
"Merch Stem Wood Volume","ST_WD_CV_MER","129","WI",55,13.0127272727273,5.2,23.1,3.2299338247145,13.1882271671415,0.53121690014985,4.43737690921275,2.31016818138067,10.2691853899447,0.210986046796467,3.2442229560619,0.982246623975077
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","129","WI",42,10.4761904761905,5.2,23.1,2.16415546361132,11.0978387624083,0.346046925974125,5.50611422963947,1.58922003223191,9.26731680334419,0.174376307233921,2.16605720171811,0.990375974840615
"Sawlog Bark Volume","ST_BK_CV_SAW","129","WI",21,13.1190476190476,9,23.1,1.04286274931016,27.0968347815348,0.46573297363816,15.3621043255231,0.798103378341827,24.645533714529,0.0678028760766704,1.11923242267669,0.828460376265234
"Sawlog Wood Volume","ST_WD_CV_SAW","129","WI",34,14.0588235294118,9,23.1,3.5001327544043,11.9003208065606,-0.710648555949793,-1.25355344832795,2.80506913862385,9.76810615861275,0.238444207179874,3.52074270837459,0.973214425482919
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","129","WI",21,13.1190476190476,9,23.1,3.30762377008634,11.9760405030985,-0.428092582976828,-0.10372715685755,2.60121874145263,9.49582826494468,0.238116619023641,3.2561738322352,0.982665456831803
"Stump Bark Volume","SP_BK_CV","129","WI",30,11.4333333333333,5.2,23.1,0.0404699337263401,30.2859969607819,-0.00352928018770054,5.05600450630568,0.0279755298151954,25.9327891576895,0.00323173578273379,0.0399459322492772,0.844882753075622
"Stump Wood Volume","SP_WD_CV","129","WI",82,13.980487804878,5.2,25.2,0.302709542331743,22.413130924666,-0.126943380293352,-1.47846997600115,0.227205511697403,17.8333434282152,0.0203185737591901,0.326542818619455,0.885182989947551
"Stump Wood+Bark Volume","SP_WDBK_CV","129","WI",42,10.4761904761905,5.2,23.1,0.262939185950819,22.8838098971557,-0.0114293005196276,7.37158874293676,0.164309379311543,18.7742321981912,0.0192060882532508,0.26004139093994,0.89505323201756
"Total Stem Bark Volume","ST_BK_CV_TOT","129","WI",30,11.4333333333333,5.2,23.1,0.929143031115921,25.4639930382508,0.443309448447242,17.1027683230963,0.710093973332052,24.5670155421246,0.06612318677571,1.01540787220941,0.85374250641407
"Total Stem Wood Volume","ST_WD_CV_TOT","129","WI",82,13.980487804878,5.2,25.2,3.83598179422669,11.098407717484,0.236446137099334,2.65281753888663,2.65600554299763,8.61455177591892,0.223309557633524,3.81984487296463,0.977278846944995
